TITULO,OFERTA,VALORES,VALORES_PROMO,LOCATION,CITY,STATE,METRAGEM,QUARTO,GARAGEM,BANHEIRO,TAG,KEY,FIRST_DAY
Apartamento,ALUGAR,2350,2115,São João,Porto Alegre,RS,77,2,2,1,A|u|x|i| |P|l|u|s|A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,327370,31-07-2023
Casa em Condomínio,ALUGAR,4500,4050,Pedra Redonda,Porto Alegre,RS,335,4,2,4,A|u|x|i| |P|l|u|s|A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,265303,31-07-2023
Apartamento,ALUGAR,6962,5500,Petrópolis,Porto Alegre,RS,42,1,0,2,A|u|x|i| |P|l|u|s|A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|M|o|b|i|l|i|a|d|o,363208,31-07-2023
Apartamento,ALUGAR,1750,1575,Humaitá,Porto Alegre,RS,58,2,1,1,E|x|c|l|u|s|i|v|o|M|o|b|i|l|i|a|d|o,297783,31-07-2023
Apartamento,ALUGAR,1990,1791,São Sebastião,Porto Alegre,RS,61,2,1,2,E|x|c|l|u|s|i|v|o,324705,31-07-2023
Apartamento,ALUGAR,7328,6000,Petrópolis,Porto Alegre,RS,44,1,0,1,A|u|x|i| |P|l|u|s|E|x|c|l|u|s|i|v|o,348685,31-07-2023
Apartamento,ALUGAR,7279,6000,Petrópolis,Porto Alegre,RS,44,1,0,1,A|u|x|i| |P|l|u|s|E|x|c|l|u|s|i|v|o,348694,31-07-2023
Apartamento,ALUGAR,7289,6000,Petrópolis,Porto Alegre,RS,44,1,0,1,A|u|x|i| |P|l|u|s|E|x|c|l|u|s|i|v|o,348696,31-07-2023
Apartamento,ALUGAR,3717,2880,Santana,Porto Alegre,RS,74,3,2,2,A|u|x|i| |P|l|u|s,417828,31-07-2023
Apartamento,ALUGAR,1600,1440,Petrópolis,Porto Alegre,RS,60,3,2,1,,340844,31-07-2023
Apartamento,ALUGAR,5278,4800,Petrópolis,Porto Alegre,RS,44,1,1,2,M|o|b|i|l|i|a|d|o,388251,31-07-2023
Apartamento,ALUGAR,4841,3600,Petrópolis,Porto Alegre,RS,42,1,0,2,A|u|x|i| |P|l|u|s|M|o|b|i|l|i|a|d|o,371948,31-07-2023
Apartamento,ALUGAR,3548,2800,Higienópolis,Porto Alegre,RS,84,2,1,2,A|u|x|i| |P|l|u|s|A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o,418053,31-07-2023
Apartamento,ALUGAR,2501,1800,Farroupilha,Porto Alegre,RS,50,2,1,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o|M|o|b|i|l|i|a|d|o,393339,31-07-2023
Casa em Condomínio,ALUGAR,5167,4500,Tristeza,Porto Alegre,RS,142,3,2,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o,372322,31-07-2023
Apartamento,ALUGAR,3389,2700,Santo Antônio,Porto Alegre,RS,70,3,1,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o|M|o|b|i|l|i|a|d|o,423898,31-07-2023
Apartamento,ALUGAR,3129,2500,Farroupilha,Porto Alegre,RS,70,2,1,1,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o|M|o|b|i|l|i|a|d|o,429925,31-07-2023
Apartamento,ALUGAR,4872,3800,Passo da Areia,Porto Alegre,RS,70,3,1,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o,431718,31-07-2023
Casa,ALUGAR,4328,4100,Tristeza,Porto Alegre,RS,105,3,0,1,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o,419460,31-07-2023
Apartamento,ALUGAR,5342,4500,Bela Vista,Porto Alegre,RS,120,3,1,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o,418096,31-07-2023
Apartamento,ALUGAR,3493,2700,São Sebastião,Porto Alegre,RS,70,2,1,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o,421688,31-07-2023
Apartamento,ALUGAR,4043,3300,Higienópolis,Porto Alegre,RS,83,2,2,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o|M|o|b|i|l|i|a|d|o,421907,31-07-2023
Apartamento,ALUGAR,6249,5550,Menino Deus,Porto Alegre,RS,85,3,2,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o,411191,31-07-2023
Apartamento,ALUGAR,4673,3500,São João,Porto Alegre,RS,115,3,2,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o,412436,31-07-2023
Apartamento,ALUGAR,3281,2700,Passo da Areia,Porto Alegre,RS,56,2,1,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o|M|o|b|i|l|i|a|d|o,415085,31-07-2023
Apartamento,ALUGAR,4181,3000,Higienópolis,Porto Alegre,RS,134,3,1,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o,402384,31-07-2023
Apartamento,ALUGAR,2375,2100,Jardim do Salso,Porto Alegre,RS,42,1,0,1,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o|M|o|b|i|l|i|a|d|o,389615,31-07-2023
Apartamento,ALUGAR,1430,1150,Rubem Berta,Porto Alegre,RS,38,2,0,1,E|x|c|l|u|s|i|v|o,389843,31-07-2023
Apartamento,ALUGAR,3107,2390,Centro Histórico,Porto Alegre,RS,50,2,1,1,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o,385500,31-07-2023
Cobertura,ALUGAR,3043,2500,Passo da Areia,Porto Alegre,RS,75,2,0,2,E|x|c|l|u|s|i|v|o|M|o|b|i|l|i|a|d|o,383654,31-07-2023
Apartamento,ALUGAR,5283,4500,Bom Fim,Porto Alegre,RS,92,3,1,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o,384016,31-07-2023
Apartamento,ALUGAR,3698,2900,Chácara das Pedras,Porto Alegre,RS,60,1,2,2,E|x|c|l|u|s|i|v|o,381100,31-07-2023
Apartamento,ALUGAR,6422,5000,Petrópolis,Porto Alegre,RS,45,1,0,1,A|u|x|i| |P|l|u|s|A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o,362668,31-07-2023
Apartamento,ALUGAR,3726,3000,Azenha,Porto Alegre,RS,58,1,1,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o|M|o|b|i|l|i|a|d|o,377233,31-07-2023
Apartamento,ALUGAR,3295,2700,Santo Antônio,Porto Alegre,RS,69,3,2,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o|M|o|b|i|l|i|a|d|o,350703,31-07-2023
Apartamento,ALUGAR,3269,2300,Petrópolis,Porto Alegre,RS,110,2,0,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o|M|o|b|i|l|i|a|d|o,329245,31-07-2023
Apartamento,ALUGAR,4153,3250,Três Figueiras,Porto Alegre,RS,60,1,1,1,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o|M|o|b|i|l|i|a|d|o,328598,31-07-2023
Apartamento,ALUGAR,3969,2800,Cavalhada,Porto Alegre,RS,89,2,1,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o,341453,31-07-2023
Apartamento,ALUGAR,2883,2290,Santo Antônio,Porto Alegre,RS,69,3,2,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o,334914,31-07-2023
Apartamento,ALUGAR,1851,1350,Menino Deus,Porto Alegre,RS,38,1,0,1,E|x|c|l|u|s|i|v|o,345118,31-07-2023
Apartamento,ALUGAR,2997,2250,Petrópolis,Porto Alegre,RS,67,2,1,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o|M|o|b|i|l|i|a|d|o,299936,31-07-2023
Apartamento,ALUGAR,3701,2990,Independência,Porto Alegre,RS,66,2,1,1,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o|M|o|b|i|l|i|a|d|o,318619,31-07-2023
Apartamento,ALUGAR,4382,3000,Menino Deus,Porto Alegre,RS,121,3,1,2,E|x|c|l|u|s|i|v|o|M|o|b|i|l|i|a|d|o,297788,31-07-2023
Apartamento,ALUGAR,1715,1350,Jardim do Salso,Porto Alegre,RS,45,1,0,1,E|x|c|l|u|s|i|v|o,286958,31-07-2023
Apartamento,ALUGAR,3703,2800,Passo da Areia,Porto Alegre,RS,71,2,1,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o|M|o|b|i|l|i|a|d|o,287609,31-07-2023
Apartamento,ALUGAR,3631,2950,Cristo Redentor,Porto Alegre,RS,70,3,1,2,E|x|c|l|u|s|i|v|o,289519,31-07-2023
Apartamento,ALUGAR,4181,3400,Jardim Europa,Porto Alegre,RS,35,1,1,1,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o|M|o|b|i|l|i|a|d|o,253597,31-07-2023
Apartamento,ALUGAR,5407,4000,Petrópolis,Porto Alegre,RS,42,1,0,1,A|u|x|i| |P|l|u|s|A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|M|o|b|i|l|i|a|d|o,367482,31-07-2023
Apartamento,ALUGAR,5407,4000,Petrópolis,Porto Alegre,RS,42,1,0,1,A|u|x|i| |P|l|u|s|A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|M|o|b|i|l|i|a|d|o,367487,31-07-2023
Apartamento,ALUGAR,3771,3200,Centro Histórico,Porto Alegre,RS,33,1,1,2,A|u|x|i| |P|l|u|s|A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|M|o|b|i|l|i|a|d|o,421679,31-07-2023
Apartamento Garden,ALUGAR,2285,1750,Menino Deus,Porto Alegre,RS,30,1,1,1,,419771,31-07-2023
Apartamento,ALUGAR,3408,2950,Auxiliadora,Porto Alegre,RS,24,1,0,2,,411816,31-07-2023
Apartamento,ALUGAR,5537,4000,Petrópolis,Porto Alegre,RS,43,1,1,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,393354,31-07-2023
Apartamento,ALUGAR,5998,5300,Passo da Areia,Porto Alegre,RS,120,3,4,3,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|M|o|b|i|l|i|a|d|o,424001,31-07-2023
Apartamento,ALUGAR,4550,3200,Passo da Areia,Porto Alegre,RS,70,3,2,2,,424051,31-07-2023
Apartamento,ALUGAR,3923,3500,Centro Histórico,Porto Alegre,RS,25,1,0,1,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,429657,31-07-2023
Apartamento,ALUGAR,3355,3000,Partenon,Porto Alegre,RS,27,1,0,1,,429907,31-07-2023
Apartamento,ALUGAR,4268,3400,Bom Fim,Porto Alegre,RS,101,2,1,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,431570,31-07-2023
Apartamento,ALUGAR,3298,3000,Partenon,Porto Alegre,RS,27,1,0,1,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,430111,31-07-2023
Apartamento,ALUGAR,4800,3800,Petrópolis,Porto Alegre,RS,87,3,1,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,423622,31-07-2023
Apartamento,ALUGAR,3018,2600,Partenon,Porto Alegre,RS,40,1,0,1,,423717,31-07-2023
Casa em Condomínio,ALUGAR,6521,4800,Santa Tereza,Porto Alegre,RS,140,4,2,3,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,423799,31-07-2023
Apartamento,ALUGAR,5631,4500,Jardim Europa,Porto Alegre,RS,72,1,2,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|M|o|b|i|l|i|a|d|o,428898,31-07-2023
Apartamento,ALUGAR,6248,5000,Boa Vista,Porto Alegre,RS,113,3,1,3,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,429041,31-07-2023
Apartamento,ALUGAR,3754,3000,Boa Vista,Porto Alegre,RS,67,2,1,1,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|M|o|b|i|l|i|a|d|o,419438,31-07-2023
Apartamento,ALUGAR,3040,2300,Partenon,Porto Alegre,RS,64,2,1,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|M|o|b|i|l|i|a|d|o,419615,31-07-2023
Apartamento,ALUGAR,7129,6000,Menino Deus,Porto Alegre,RS,127,3,2,2,,419996,31-07-2023
Apartamento,ALUGAR,4967,3900,Auxiliadora,Porto Alegre,RS,73,2,2,1,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,421000,31-07-2023
Apartamento,ALUGAR,3778,3100,Auxiliadora,Porto Alegre,RS,30,1,0,1,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|M|o|b|i|l|i|a|d|o,421785,31-07-2023
Apartamento,ALUGAR,3863,2780,Floresta,Porto Alegre,RS,80,1,1,1,M|o|b|i|l|i|a|d|o,418689,31-07-2023
Apartamento,ALUGAR,3085,2800,Praia de Belas,Porto Alegre,RS,64,2,1,1,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|M|o|b|i|l|i|a|d|o,418844,31-07-2023
Apartamento,ALUGAR,5021,4000,Menino Deus,Porto Alegre,RS,107,3,2,3,,422393,31-07-2023
Apartamento,ALUGAR,4690,3500,Menino Deus,Porto Alegre,RS,100,2,1,3,,422696,31-07-2023
Apartamento,ALUGAR,10961,10000,Vila Assunção,Porto Alegre,RS,178,3,3,6,,422864,31-07-2023
Apartamento,ALUGAR,8247,7300,Jardim Europa,Porto Alegre,RS,108,2,2,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|M|o|b|i|l|i|a|d|o,422934,31-07-2023
Apartamento,ALUGAR,2734,2400,Partenon,Porto Alegre,RS,27,1,1,1,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,410913,31-07-2023
Apartamento,ALUGAR,2805,2500,Partenon,Porto Alegre,RS,64,2,1,1,,413198,31-07-2023
Apartamento,ALUGAR,2932,2000,Tristeza,Porto Alegre,RS,71,2,1,1,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,413645,31-07-2023
Apartamento,ALUGAR,3771,3100,Petrópolis,Porto Alegre,RS,88,2,1,1,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,413803,31-07-2023
Apartamento,ALUGAR,4872,4000,Auxiliadora,Porto Alegre,RS,117,2,2,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,416359,31-07-2023
Apartamento,ALUGAR,2485,2000,Santo Antônio,Porto Alegre,RS,58,2,1,2,,413023,31-07-2023
Apartamento,ALUGAR,8788,6800,Bela Vista,Porto Alegre,RS,156,3,2,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,417010,31-07-2023
Apartamento,ALUGAR,6442,5000,Petrópolis,Porto Alegre,RS,43,1,0,1,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|M|o|b|i|l|i|a|d|o,402377,31-07-2023
Apartamento,ALUGAR,3822,3400,Cidade Baixa,Porto Alegre,RS,30,1,1,1,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,402422,31-07-2023
Apartamento,ALUGAR,2584,2250,Partenon,Porto Alegre,RS,27,1,1,1,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,402524,31-07-2023
Apartamento,ALUGAR,2595,2300,Partenon,Porto Alegre,RS,30,1,0,1,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,402526,31-07-2023
Apartamento,ALUGAR,2630,2300,Partenon,Porto Alegre,RS,30,1,1,1,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,402528,31-07-2023
Apartamento,ALUGAR,2608,2300,Partenon,Porto Alegre,RS,30,1,0,1,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,402529,31-07-2023
Apartamento,ALUGAR,2613,2300,Partenon,Porto Alegre,RS,30,1,0,1,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,402541,31-07-2023
Apartamento,ALUGAR,2630,2300,Partenon,Porto Alegre,RS,30,1,0,1,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,402546,31-07-2023
Apartamento,ALUGAR,2869,2550,Partenon,Porto Alegre,RS,27,1,0,1,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,408257,31-07-2023
Apartamento,ALUGAR,3125,2800,Partenon,Porto Alegre,RS,37,1,0,1,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|M|o|b|i|l|i|a|d|o,408403,31-07-2023
Casa em Condomínio,ALUGAR,5109,4300,Jardim Isabel,Porto Alegre,RS,158,3,2,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,402052,31-07-2023
Apartamento,ALUGAR,3005,2500,Auxiliadora,Porto Alegre,RS,101,3,1,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,399546,31-07-2023
Apartamento,ALUGAR,2830,2400,Sarandi,Porto Alegre,RS,57,2,1,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,399579,31-07-2023
Casa em Condomínio,ALUGAR,5833,4500,Teresópolis,Porto Alegre,RS,170,3,2,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,399601,31-07-2023
Casa em Condomínio,ALUGAR,20011,15500,Jardim Carvalho,Porto Alegre,RS,443,3,3,5,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|M|o|b|i|l|i|a|d|o,397700,31-07-2023
Apartamento,ALUGAR,5228,3900,Petrópolis,Porto Alegre,RS,43,1,0,1,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,389874,31-07-2023
Apartamento,ALUGAR,4472,2990,Petrópolis,Porto Alegre,RS,45,1,0,1,A|u|x|i| |P|l|u|s|A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,389898,31-07-2023
Casa em Condomínio,ALUGAR,10696,8000,Belém Novo,Porto Alegre,RS,244,3,1,4,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,380271,31-07-2023
Apartamento,ALUGAR,12892,10500,Jardim Europa,Porto Alegre,RS,170,3,2,4,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,361653,31-07-2023
Apartamento,ALUGAR,6007,4600,Petrópolis,Porto Alegre,RS,43,1,0,1,A|u|x|i| |P|l|u|s|A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|M|o|b|i|l|i|a|d|o,362255,31-07-2023
Apartamento,ALUGAR,2720,2000,Jardim Lindóia,Porto Alegre,RS,61,2,1,2,,369331,31-07-2023
